team,total_players,star_count,icon_count,platinum_count,gold_count,classic_count,emerging_u23_count,associate_stars_count,overseas_count,local_count,batsmen_count,bowlers_count,allrounders_count,wk_count,squad_depth_score,batting_strength_score,bowling_strength_score,balance_score,experience_score,predicted_rank,win_probability_pct
Colombo Kaps,20,2,2,2,4,6,2,1,5,15,8,7,3,3,78,82,80,79,80,3,20
Galle Gallants,20,2,2,2,4,6,2,1,5,15,7,8,5,2,76,78,78,82,76,4,17
Jaffna Kings,19,2,2,2,4,6,2,1,5,14,7,8,4,1,75,76,84,80,78,5,14
Dambulla Sixers,18,2,2,2,4,6,2,1,5,13,6,9,3,2,74,75,90,77,79,2,23
Kandy Royals,20,2,2,2,4,6,2,1,5,15,8,7,5,2,83,84,88,90,88,1,26
